5,"t","Honey Bee Colonies: Released August 1, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2021 and January-March 2021"
5,"h","","","","","","","",""
5,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","January 1","","","","","",""
5,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",10000,10000,1100,11,670,200,2
5,"d","Arizona",28000,28000,6500,23,4500,4500,16
5,"d","Arkansas",21000,21000,4900,23,690,130,1
5,"d","California",1180000,1600000,275000,17,189000,84000,5
5,"d","Colorado",3000,16500,700,4,1000,30,"(Z)"
5,"d","Connecticut",4200,4200,800,19,400,50,1
5,"d","Florida",300000,305000,31000,10,47000,17000,6
5,"d","Georgia",120000,120000,20000,17,34000,14500,12
5,"d","Hawaii",19500,19500,800,4,2300,1600,8
5,"d","Idaho",167000,193000,14500,8,11000,9000,5
5,"d","",,,,,,,
5,"d","Illinois",11500,13000,3000,23,2500,200,2
5,"d","Indiana",10000,11000,2600,24,2400,20,"(Z)"
5,"d","Iowa",15000,26000,2100,8,1100,30,"(Z)"
5,"d","Kansas",5000,8000,1400,18,1000,10,"(Z)"
5,"d","Kentucky",11000,11000,2100,19,1000,80,1
5,"d","Louisiana",51000,53000,7000,13,3600,3000,6
5,"d","Maine",2900,2900,300,10,60,80,3
5,"d","Maryland",7000,7000,1800,26,1300,240,3
5,"d","Massachusetts",5000,5000,980,20,30,90,2
5,"d","Michigan",78000,78000,1500,2,320,4100,5
5,"d","",,,,,,,
5,"d","Minnesota",61000,73000,3200,4,1300,140,"(Z)"
5,"d","Mississippi",31000,36000,5500,15,14000,70,"(Z)"
5,"d","Missouri",5500,5500,900,16,110,40,1
5,"d","Montana",40000,51000,330,1,820,20,"(Z)"
5,"d","Nebraska",11000,18000,640,4,930,-,-
5,"d","New Jersey",14000,14000,350,3,900,80,1
5,"d","New Mexico",3500,5500,270,5,170,-,-
5,"d","New York",30000,30000,4900,16,2600,380,1
5,"d","North Carolina",18000,24000,4000,17,1900,110,"(Z)"
5,"d","North Dakota",51000,65000,180,"(Z)",2700,-,-
5,"d","",,,,,,,
5,"d","Ohio",17500,17500,4000,23,120,20,"(Z)"
5,"d","Oklahoma",28000,28000,2600,9,4100,360,1
5,"d","Oregon",76000,80000,3100,4,1600,610,1
5,"d","Pennsylvania",23000,24000,5500,23,1100,40,"(Z)"
5,"d","South Carolina",15500,18000,1200,7,930,190,1
5,"d","South Dakota",28000,34000,450,1,-,-,-
5,"d","Tennessee",12000,13500,2200,16,460,310,2
5,"d","Texas",240000,355000,30000,8,61000,13500,4
5,"d","Utah",17500,19500,2600,13,2700,-,-
5,"d","Vermont",7500,7500,1300,17,700,70,1
5,"d","",,,,,,,
5,"d","Virginia",7500,7500,1400,19,1800,50,1
5,"d","Washington",48000,70000,5500,8,9500,850,1
5,"d","West Virginia",7000,9000,1200,13,200,460,5
5,"d","Wisconsin",42000,44000,2500,6,230,170,"(Z)"
5,"d","Wyoming",13000,14500,2200,15,3000,1200,8
5,"d","",,,,,,,
5,"d","Other States 5/",6640,6640,540,8,750,70,1
5,"d","",,,,,,,
5,"d","United States",2903240,"(X)",464640,16,417490,157600,5
5,"c",""
5,"f","-  Represents zero."
5,"f","(X)  Not applicable."
5,"f","(Z)  Less than half of the unit shown."
5,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
5,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
5,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
5,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
5,"f","5/ Includes data for States not published in this table."
