8,"t","Honey Bee Colonies: Released August 1, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2021 and October-December 2021"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",9000,9000,1100,12,360,10,"(Z)"
8,"d","Arizona",23000,23000,5500,24,7500,-,-
8,"d","Arkansas",18000,18000,480,3,920,100,1
8,"d","California",640000,1210000,50000,4,15000,29000,2
8,"d","Colorado",12000,13000,1600,12,200,-,"(Z)"
8,"d","Connecticut",4000,4000,180,5,140,130,3
8,"d","Florida",255000,310000,38000,12,20000,11000,4
8,"d","Georgia",131000,132000,24000,18,12500,12000,9
8,"d","Hawaii",20000,20000,100,1,1100,530,3
8,"d","Idaho",141000,230000,22000,10,250,4300,2
8,"d","",,,,,,,
8,"d","Illinois",12500,12500,1300,10,180,810,6
8,"d","Indiana",14500,14500,1700,12,130,2400,17
8,"d","Iowa",51000,51000,4000,8,170,90,"(Z)"
8,"d","Kansas",8000,8000,2100,26,140,50,1
8,"d","Kentucky",10500,10500,880,8,120,460,4
8,"d","Louisiana",30000,36000,2800,8,1400,1300,4
8,"d","Maine",5500,5500,700,13,70,160,3
8,"d","Maryland",5500,6000,720,12,1200,-,-
8,"d","Massachusetts",10500,10500,290,3,20,50,"(Z)"
8,"d","Michigan",105000,105000,6000,6,140,2200,2
8,"d","",,,,,,,
8,"d","Minnesota",100000,100000,10500,11,4900,350,"(Z)"
8,"d","Mississippi",15500,23000,3000,13,30,240,1
8,"d","Missouri",6000,7500,590,8,190,120,2
8,"d","Montana",92000,102000,17000,17,3200,8000,8
8,"d","Nebraska",43000,43000,7500,17,10,250,1
8,"d","New Jersey",19500,19500,430,2,350,-,-
8,"d","New Mexico",5500,5500,1900,35,2000,-,-
8,"d","New York",65000,66000,21000,32,440,26000,39
8,"d","North Carolina",21000,22000,2100,10,260,360,2
8,"d","North Dakota",485000,485000,27000,6,11000,8000,2
8,"d","",,,,,,,
8,"d","Ohio",13500,17000,1600,9,300,460,3
8,"d","Oklahoma",3300,21000,1400,7,230,950,5
8,"d","Oregon",103000,103000,10500,10,680,29000,28
8,"d","Pennsylvania",26000,26000,2400,9,250,150,1
8,"d","South Carolina",20000,21000,3200,15,70,150,1
8,"d","South Dakota",190000,190000,11500,6,1400,120,"(Z)"
8,"d","Tennessee",15500,15500,1400,9,20,1200,8
8,"d","Texas",146000,290000,23000,8,2100,1700,1
8,"d","Utah",37000,37000,3200,9,1500,1400,4
8,"d","Vermont",7000,7000,40,1,-,50,1
8,"d","",,,,,,,
8,"d","Virginia",8500,8500,930,11,160,210,2
8,"d","Washington",79000,83000,6500,8,1400,2300,3
8,"d","West Virginia",7500,7500,560,7,10,100,1
8,"d","Wisconsin",47000,47000,5500,12,1100,150,"(Z)"
8,"d","Wyoming",21000,22000,2400,11,660,560,3
8,"d","",,,,,,,
8,"d","Other States 5/",8990,8990,510,6,140,110,1
8,"d","",,,,,,,
8,"d","United States",3091790,"(X)",329110,11,93940,146520,5
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
