year,month,states,stressor,stress_pct
2015,January-March,Alabama,Varroa Mites,10.0
2015,January-March,Alabama,Diseases,
2015,January-March,Alabama,Unknown,9.4
2015,January-March,Alabama,Other,9.1
2015,January-March,Alabama,Pesticides,2.2
2015,January-March,Alabama,Other pests/parasites,5.4
2015,January-March,Arizona,Varroa Mites,26.9
2015,January-March,Arizona,Diseases,0.1
2015,January-March,Arizona,Unknown,3.1
2015,January-March,Arizona,Other pests/parasites,20.5
2015,January-March,Arizona,Other,1.8
2015,January-March,Arizona,Pesticides,
2015,January-March,Arkansas,Other pests/parasites,11.4
2015,January-March,Arkansas,Diseases,1.5
2015,January-March,Arkansas,Varroa Mites,17.6
2015,January-March,Arkansas,Pesticides,3.4
2015,January-March,Arkansas,Unknown,1.0
2015,January-March,Arkansas,Other,1.0
2015,January-March,California,Pesticides,7.5
2015,January-March,California,Other pests/parasites,7.2
2015,January-March,California,Varroa Mites,24.7
2015,January-March,California,Other,6.5
2015,January-March,California,Unknown,2.8
2015,January-March,California,Diseases,3.0
2015,January-March,Colorado,Pesticides,0.6
2015,January-March,Colorado,Other,2.6
2015,January-March,Colorado,Varroa Mites,14.6
2015,January-March,Colorado,Unknown,5.9
2015,January-March,Colorado,Other pests/parasites,0.9
2015,January-March,Colorado,Diseases,1.8
2015,January-March,Connecticut,Pesticides,
2015,January-March,Connecticut,Other pests/parasites,1.4
2015,January-March,Connecticut,Other,21.2
2015,January-March,Connecticut,Diseases,
2015,January-March,Connecticut,Unknown,2.4
2015,January-March,Connecticut,Varroa Mites,2.5
2015,January-March,Florida,Diseases,0.8
2015,January-March,Florida,Other,5.1
2015,January-March,Florida,Other pests/parasites,13.5
2015,January-March,Florida,Unknown,4.4
2015,January-March,Florida,Varroa Mites,22.3
2015,January-March,Florida,Pesticides,8.9
2015,January-March,Georgia,Other,4.8
2015,January-March,Georgia,Unknown,10.5
2015,January-March,Georgia,Other pests/parasites,4.9
2015,January-March,Georgia,Pesticides,2.6
2015,January-March,Georgia,Diseases,3.3
2015,January-March,Georgia,Varroa Mites,6.2
2015,January-March,Hawaii,Diseases,1.6
2015,January-March,Hawaii,Unknown,
2015,January-March,Hawaii,Other,2.0
2015,January-March,Hawaii,Other pests/parasites,37.7
2015,January-March,Hawaii,Varroa Mites,38.8
2015,January-March,Hawaii,Pesticides,
2015,January-March,Idaho,Diseases,12.5
2015,January-March,Idaho,Other,8.9
2015,January-March,Idaho,Other pests/parasites,6.7
2015,January-March,Idaho,Varroa Mites,39.8
2015,January-March,Idaho,Unknown,4.9
2015,January-March,Idaho,Pesticides,4.8
2015,January-March,Illinois,Varroa Mites,12.3
2015,January-March,Illinois,Diseases,0.7
2015,January-March,Illinois,Pesticides,0.4
2015,January-March,Illinois,Other pests/parasites,6.9
2015,January-March,Illinois,Other,12.6
2015,January-March,Illinois,Unknown,11.6
2015,January-March,Indiana,Pesticides,0.3
2015,January-March,Indiana,Other pests/parasites,0.3
2015,January-March,Indiana,Varroa Mites,20.7
2015,January-March,Indiana,Other,22.3
2015,January-March,Indiana,Diseases,0.2
2015,January-March,Indiana,Unknown,11.7
2015,January-March,Iowa,Pesticides,3.4
2015,January-March,Iowa,Other pests/parasites,0.7
2015,January-March,Iowa,Unknown,3.4
2015,January-March,Iowa,Varroa Mites,26.0
2015,January-March,Iowa,Other,18.0
2015,January-March,Iowa,Diseases,4.6
2015,January-March,Kansas,Other,9.5
2015,January-March,Kansas,Unknown,3.4
2015,January-March,Kansas,Varroa Mites,32.7
2015,January-March,Kansas,Pesticides,14.2
2015,January-March,Kansas,Other pests/parasites,1.3
2015,January-March,Kansas,Diseases,1.1
2015,January-March,Kentucky,Diseases,2.5
2015,January-March,Kentucky,Pesticides,2.5
2015,January-March,Kentucky,Other,22.7
2015,January-March,Kentucky,Other pests/parasites,10.7
2015,January-March,Kentucky,Unknown,12.9
2015,January-March,Kentucky,Varroa Mites,10.8
2015,January-March,Louisiana,Varroa Mites,17.2
2015,January-March,Louisiana,Pesticides,1.7
2015,January-March,Louisiana,Other,3.1
2015,January-March,Louisiana,Other pests/parasites,4.7
2015,January-March,Louisiana,Diseases,4.3
2015,January-March,Louisiana,Unknown,2.1
2015,January-March,Maine,Other pests/parasites,0.1
2015,January-March,Maine,Pesticides,
2015,January-March,Maine,Unknown,1.9
2015,January-March,Maine,Diseases,
2015,January-March,Maine,Varroa Mites,4.4
2015,January-March,Maine,Other,7.5
2015,January-March,Maryland,Unknown,12.4
2015,January-March,Maryland,Other pests/parasites,1.8
2015,January-March,Maryland,Diseases,0.4
2015,January-March,Maryland,Other,24.2
2015,January-March,Maryland,Varroa Mites,10.1
2015,January-March,Maryland,Pesticides,
2015,January-March,Massachusetts,Other,7.6
2015,January-March,Massachusetts,Diseases,2.1
2015,January-March,Massachusetts,Unknown,4.7
2015,January-March,Massachusetts,Other pests/parasites,3.5
2015,January-March,Massachusetts,Pesticides,2.8
2015,January-March,Massachusetts,Varroa Mites,23.5
2015,January-March,Michigan,Varroa Mites,14.3
2015,January-March,Michigan,Other,8.3
2015,January-March,Michigan,Diseases,1.1
2015,January-March,Michigan,Unknown,4.6
2015,January-March,Michigan,Other pests/parasites,3.1
2015,January-March,Michigan,Pesticides,1.6
2015,January-March,Minnesota,Unknown,2.1
2015,January-March,Minnesota,Varroa Mites,1.4
2015,January-March,Minnesota,Diseases,
2015,January-March,Minnesota,Pesticides,0.1
2015,January-March,Minnesota,Other,1.6
2015,January-March,Minnesota,Other pests/parasites,0.1
2015,January-March,Mississippi,Pesticides,2.1
2015,January-March,Mississippi,Other,1.2
2015,January-March,Mississippi,Varroa Mites,9.4
2015,January-March,Mississippi,Unknown,1.1
2015,January-March,Mississippi,Diseases,0.1
2015,January-March,Mississippi,Other pests/parasites,8.2
2015,January-March,Missouri,Other,11.8
2015,January-March,Missouri,Diseases,2.2
2015,January-March,Missouri,Other pests/parasites,6.0
2015,January-March,Missouri,Varroa Mites,13.1
2015,January-March,Missouri,Pesticides,4.2
2015,January-March,Missouri,Unknown,6.3
2015,January-March,Montana,Unknown,7.9
2015,January-March,Montana,Other pests/parasites,0.5
2015,January-March,Montana,Pesticides,0.8
2015,January-March,Montana,Other,2.3
2015,January-March,Montana,Varroa Mites,8.7
2015,January-March,Montana,Diseases,0.6
2015,January-March,Nebraska,Varroa Mites,5.9
2015,January-March,Nebraska,Unknown,3.0
2015,January-March,Nebraska,Other pests/parasites,0.1
2015,January-March,Nebraska,Pesticides,0.5
2015,January-March,Nebraska,Other,0.3
2015,January-March,Nebraska,Diseases,0.1
2015,January-March,New Jersey,Pesticides,11.1
2015,January-March,New Jersey,Varroa Mites,40.1
2015,January-March,New Jersey,Unknown,16.7
2015,January-March,New Jersey,Other pests/parasites,13.2
2015,January-March,New Jersey,Diseases,30.4
2015,January-March,New Jersey,Other,19.5
2015,January-March,New Mexico,Other,1.3
2015,January-March,New Mexico,Unknown,0.4
2015,January-March,New Mexico,Other pests/parasites,0.1
2015,January-March,New Mexico,Pesticides,0.2
2015,January-March,New Mexico,Diseases,
2015,January-March,New Mexico,Varroa Mites,17.1
2015,January-March,New York,Diseases,0.5
2015,January-March,New York,Other pests/parasites,2.6
2015,January-March,New York,Varroa Mites,7.6
2015,January-March,New York,Pesticides,4.4
2015,January-March,New York,Unknown,8.3
2015,January-March,New York,Other,12.4
2015,January-March,North Carolina,Other pests/parasites,2.3
2015,January-March,North Carolina,Pesticides,22.9
2015,January-March,North Carolina,Unknown,12.2
2015,January-March,North Carolina,Other,6.2
2015,January-March,North Carolina,Varroa Mites,35.5
2015,January-March,North Carolina,Diseases,0.1
2015,January-March,North Dakota,Other pests/parasites,1.7
2015,January-March,North Dakota,Unknown,0.1
2015,January-March,North Dakota,Varroa Mites,1.7
2015,January-March,North Dakota,Pesticides,
2015,January-March,North Dakota,Other,2.5
2015,January-March,North Dakota,Diseases,
2015,January-March,Ohio,Pesticides,3.0
2015,January-March,Ohio,Unknown,3.1
2015,January-March,Ohio,Varroa Mites,10.7
2015,January-March,Ohio,Other pests/parasites,1.6
2015,January-March,Ohio,Other,17.8
2015,January-March,Ohio,Diseases,1.0
2015,January-March,Oklahoma,Other,2.1
2015,January-March,Oklahoma,Unknown,2.9
2015,January-March,Oklahoma,Other pests/parasites,10.1
2015,January-March,Oklahoma,Diseases,0.5
2015,January-March,Oklahoma,Pesticides,
2015,January-March,Oklahoma,Varroa Mites,14.5
2015,January-March,Oregon,Pesticides,0.6
2015,January-March,Oregon,Varroa Mites,20.2
2015,January-March,Oregon,Unknown,1.1
2015,January-March,Oregon,Other,1.6
2015,January-March,Oregon,Diseases,0.4
2015,January-March,Oregon,Other pests/parasites,2.0
2015,January-March,Other States,Other,0.9
2015,January-March,Other States,Diseases,
